Parameter Name,Frequency
Serum,4
-in First hour,4
SERUM ALBUMIN,4
R.D.W.,4
SGOT (AST),4
ctHb,4
Patient,4
Pus Cells,4
cGlu,4
Ph.,4
Culture Growth Positive after,4
Colony Count CFU,4
Report Date,4
SERUM ALKALINE PHOSPHATASE,4
SERUM GLOBULIN,4
Sarvodaya Diagnostics - A Unit of Anshu Hospitals Limited          CIN No. U,4
Test Performed at,4
Poor Control,4
Indirect Bilirubin,4
TOTAL LEUCOCYTIC COUNT (TLC),4
Total Protein,4
NADH (Without P-,4
mgdLAdults (,4
ABL,4
Fair Control,4
Metabolicaly healthy patients,4
TOTAL BILIRUBIN,4
Haematocrit,4
DIRECT,4
Good Control,4
Baro.,4
Collection Date Time  I,4
Neutrophil,4
Print Dt,4
CIN  U,4
Absolute Neutrophils Count,4
HEMOGLOBIN,4
Collection Date Time,3
BHANDARI GROUP OF HOSPITALS,3
ME GF Scheme No.,3
Receiving Date,3
Tel.  (,3
HCT,3
UHID            AIGG.,3
PROTHROMBIN TIME,3
URIC ACID,3
UID,3
Absolute Eosinophil Count,3
RDW-SD,3
Collection Date Time  a,3
Patient ID,3
RADIOMETER ABL,3
FOHb,3
Absolute Monocytes Count,3
UHID        AIGG.,3
SERUM SODIUM (Indirect ISE),3
SERUM POTASSIUM (Indirect ISE),3
Collected on,3
VITAMIN D,3
Vitamin D,3
-PLATELET COUNT-,3
- AST  SGOT-,3
- ALTSGPT-,3
C-Reactive Protein,3
-MCHC-,3
- SERUM CREATININE-,3
- CRP QUANTITATIVE-,3
-MONOCYTE-,3
C. Reactive Protein,3
Dengue NS-,3
diagnosis.In typhoid fever widal test is usually positive after,3
Result Date  Time (,3
SGOTAST,3
Neonates,3
Patients with PCT values,3
CONJUGATED (D. Bilirubin),3
R BC COUNT,3
UNCONJUGATED (,3
PATIENT VALUE,3
MORE THAN,3
C.R.P. (Quantitative),3
sarvodaya,3
UHIDNOIPNo,3
CRUHD No,3
The test detects parasitemia levels of,3
Patient Id,3
Sample No _,3
New Born,3
VLDL,3
More than,3
Total RBC Count,3
SUGAR,3
PROTHROMBIN TIME(PT),3
Urea,3
CBC Throid Kideny Function Test Liver Function Test Lipid Profile Blood Sugar LH FSH Prolactin -HCG TORCH CA-,3
PLATELATE COUNT,3
Specific Gravity,3
SERUM CREATININE (mod.Jaffe),3
Direct Bilirubin,3
Lab Serial No,3
Episode         IP,3
SIN LRN,3
SERUM POTASSIUM,3
R.B.C Count,3
Note,3
RegNo,3
ALL DISPUTES ARE SUBJECT TO DELHI JURISDICTION               MRRMHREV,3
S. Potassium,3
S. Calcium,3
Calcium,3
Quantity,3
S. Sodium,3
from the first day up to,3
Children,3
Lab No,3
WAMBM -,3
Absolute Basophil Count,3
PS-,3
Printed,2
pod),2
ctO.,2
col,2
pQ Te,2
wirdly Corelate chidically te ciscsuts,2
PATIENT REPORT         Syringe - S,2
Lab NoResult No a                                Release Date         RR,2
Method,2
DXHS,2
REMISOL WANOWJART,2
Printed By  WICU,2
aefe,2
cBase(Ecf),2
ABSOLUTE EOSINOPHIL COUNT,2
BNO                                               BE,2
HIV,2
equation normalized tol.,2
SERUM CREATININE (Kinetic mod.Jaffe),2
mgdLNewbornPremature,2
Children (,2
mgdL Adults (,2
PHOSPHORUS,2
Dengue NS,2
NOT FO,2
Transactn No.,2
CIN U,2
in order to implement appropriate treatment during early course of teh disease. NS,2
serological antibodies based methods are of limited value. NS,2
Procalcitonin,2
Sample Coll,2
CRP,2
recent history (approx -,2
MICH,2
aryana Government     All Lab Test ICU  Ambulance Facility,2
Patient Id                SriNo.,2
On Panel .                                                                 e,2
around the,2
dies appear by the,2
e Haryana Government     All Lab Test ICU  Ambulance Facility,2
in normal healthy individuals CRP levels generally do notexceed,2
BLOOD UREA NITROGEN (BUN),2
On Panel                                                              e,2
Total Bilirubin,2
Validated By                                                  Reg NoKMC,2
Sample Rec.,2
EEG -,2
ESR,2
ProCalcitonin,2
Procalcitonin the prohormone of calcitonin is below limit of detection (,2
induce PCT as well (see below). Suggest repeat after,2
levels as compared to a lag time of,2
LDL  HDL CHOLESTEROL RATIO,2
SERUM SODIUM,2
- TOTAL BIURUBIN-,2
TOTAL CHOLESTEROLHDL RATIO,2
-NEUTROPHL,2
ctO,2
pCco,2
cCat,2
CIN US,2
cCa,2
Admn No,2
SGPTALT,2
-MCV-,2
-MCH-,2
Transactin No.,2
Collection Date,2
Agglutinin titre greater than,2
CRP QUANTITATIVE,2
PC V HAEMATOCRIT,2
Volume,2
Vikas Marg Opposite OIDB Bhawan Sector-,2
S. Proteins,2
S.Albumin,2
Basophils                OO,2
B.Sugar (R),2
On Panel,2
Eosinophils              Ol,2
R.B.C,2
Loc.Req No,2
HB (HAEMOGLOBIN),2
UHID  IP,2
Platelet count,2
CONJUGATED (D Bilirubin),2
UNCONJUGATED (I.D.Bilirubin),2
- BLOOD SUGAR RANDOM-,2
- URIC ACID-,2
- TOTAL PROTEING.,2
- ALKALINE PHOSPHATASE-,2
- POTASSIUM -,2
- CONJUGATED (,2
- BLOOD UREA-,2
BILIRUBIN (DIRECT),2
metabolized to vit D,2
Lab ID,2
in host defence and tissue repair. There is a lag time of,2
ESR (WESTEGRENs METHOD),2
aeaeeeana    wrmeate  (OUCH WOTTE teMOvatOn        ee   ae       oe     oe       _,2
SERUM VITAMIN B,2
Episode       OP                            Bill No.            AGOCS,2
Sample No      AGH,2
BLOOD SUGAR Random,2
We care He cures,2
Serum Uric Acid,2
Serum Bilirubin (Total),2
Date                                          Sri.No.,2
Control,2
Validated By                                                 Reg NoKMC,2
Mean corpuscular,2
CONJUGATED (D. BILIRUBIN),2
.G.,2
PACKED CELL VOLUME (PCV),2
Serum Sodium,2
Serum Potassium,2
Serum Creatinine,2
AgeGender,2
Potassium(K),2
a.            hii                           Collection DateTime,2
Po               Dr.Emergency Team Shbg                                Reporting DateTime,2
Patients I,2
Delhi-Rohtak Road Opp. Metro Pillar No.,2
Within,2
AGRATIO,2
AgeSex,2
Albumin - Serum,2
TSH (Thyroid Stimulating Hormone),2
Referring Customer  PANCHKULA                                 Registered On,2
Sample Type         Serum                                     Reported On,2
-    Client Code          BGLPJOOS,2
ALBUMINSERUM,2
SCO,2
PANCHKULA                         Collected On,2
CREATININESERUM,2
COI,2
Potassium (K),2
Female,2
AIG Ratio,2
Phosphorus,2
SERUM PROTEIN,2
UREA,2
BLEEDING TIME,2
CA-,2
Absolute Neutrophil Count (ANC),2
C-REACTIVE PROTEIN CRP,2
Mean Corpuscular Volume (MCV),2
(MCH) Mean Corpuscular Haemoglobin,2
(MCHC) Mean Corpuscular Haemoglobin,2
ROW - CV,2
Absolute Lymphocyte Count (ALC),2
Absolute Eosinophil Count (AEC),2
BL.,2
First Trimester,2
(SERUM  ELISA),2
Second Trimester,2
Third Trimester,2
FREE T,2
Bilirubin Direct                                  H,2
Bilirubin Indirect                          H,2
S.G.P.T.                                           H,2
UHId                     SBID.,2
Creatinine                       Serum,2
BIOCHEMISTRY ELECTROLYTES NA K CL SODIUM,2
UHId        SBID.,2
Episode                    IP                                                                                           ia,2
Ref. Doctor            gr. Medicine Unit Pradeep Narayan Chauhan                      a,2
incubated aerobically at,2
SIN NoSB,2
nat et ee oes Renee  Bie                           PHA                        .       NEW DE  ne,2
Calcium (Total),2
cee AS tg,2
PUS CELLS - URINE,2
Epithelial Cells - Urine,2
tACHC,2
RG NO.,2
Sample,2
CHCO,2
Bed No,2
No.,2
REC,2
Sri Ramachandra Medical College  Research Institute,2
PLOT NO,2
Sarat Bose Road Kolkata-,2
Proteins (Total),2
Bilirubin Total                                    H,2
S.G.O.T.                              H,2
Alkaline Phosphatase                 H,2
Gamma Glutamyl Transferase            H,2
L-Gamma-glutamyl-,2
Blood - Haemoglobin,2
env (RBC) Count,2
PCV (Packed Cell Volume),2
MCV Blood,2
PT INR,2
WING        KAMBALA CROSS ROAD.     Sample Collected At                       Nn  -s,2
Prothrombin time plasma,2
Control (MNPT),2
Ratio,2
Qe ine) Value,2
RDW (Red Cell Distribution Width),2
HGB,2
ABSOLUTE MONOCYTE COUNT,2
ye. Mrs. Mamta Srivastava                                                Lab No,2
soTP RO ciFemate                         Paeeaeass Receiving Date SIM,2
gel EM,2
PEROXIDASE STAINING,2
Sample No,2
Glucose,2
RBCCOUNT,2
PLATELETCOUNT,2
Old Survey No.,2
ABSOLUTE BASOPHIL COUNT,2
MEAN NORMAL PROTHROMBIN TIME,2
Critical Alert,2
Sample No        AGI,2
R.B.C. Count,2
Ref. Doctor        gr. Medicine Unit Pradeep Narayan Chauhan              a,2
ls further processed for identification by automated VITEK-,2
tests and antimicrobial sensitivity testing is done by automated VITEK-,2
sample No -,2
Lymph,2
Mid,2
Opp. Hero Cycles  Oswal Woollen Mill No.,2
Ph  I,2
WBC,2
User,2
UHID NO  IP No,2
High risk,2
BUN (UreaseGLDH),2
SERUM CHLORIDE (Indirect ISE),2
Reg. No.            ADMIT-,2
Ward               ICCU -,2
Absolute Eosinophils Count,2
Absolute Basophils Count,2
P-LCR,2
POLYMORPHS,2
RENAL PROFILE,2
Absolute Lymphocytes Count,2
Absolute Eosinophils Count AEC,2
Mean Cell Hb Conc(MCHC),2
Sample Id,2
H.C.T.,2
M.C.H.C.,2
M.C.H.,2
Time,2
M.C.V.,2
M.P.V.,2
PLATELET INDICES -,2
Bilirubin (Direct),1
RBC INDICES-R.D.W-CV,1
MG -,1
Total R.B.C. Count,1
Haematocrit (PCVHCT),1
Mean Corpuscular Volume (M.C.V.),1
Mean Corpuscular Hb (M.C.H.),1
Mean-Corpuscular Hb Conc (M.C.H.C.),1
Red cell Distribution Width (R.D.W.-,1
Lymphocytes (abs),1
Eosinophils (abs),1
Monocytes (abs),1
Basophils (abs),1
Equipment Mindray BC-,1
p  of,1
Dist. Raigad -,1
SS EEMERVICE  DIGITALX-RAY f  Mob,1
Scan to Validate,1
.   .      .,1
am      .,1
bation i,1
By Doct                                  Gender Male                   Report Print Time,1
RC. Count,1
Mean Cell Volume( MCV),1
Tean Cell Hemoplobin( MCH),1
BASOPHILLS,1
LUC,1
Performed On SIEMENS ADVIA,1
RBC INDICES - MCH,1
RBC INDICES - MCHC,1
RBC INDICES-R.D.W-SD,1
PLATELET INDICES - P-,1
Easinophils,1
m LYMPHOcYTes,1
pasopuits  o-o,1
L LPTANR,1
FIBRINOGEN t,1
TROL POTASSIUM,1
MAGNESIUM te,1
Seicare,1
HKOSINOPHILLS,1
ABSOLUTE NEUTROPHILS,1
Order Date -,1
ymphocytes,1
PSinophils,1
Weiecric Impedance method),1
gas ophils,1
-    Tests marked with NABL symbol are accredited by NABL vide Certificate no  MC-,1
ROPEOL S                                                                              Dr. Bharath N  oLoGiST KMC,1
TTT TMi                                      .,1
petype,1
Order Date - I,1
CULTURE AEROBIC PUS          Result Finalized Released Date I,1
ABSOLUTE BASOPHILS,1
ABSOLUTE EOSINOPHILS,1
ABSOLUTE LYMPHOCYTES,1
ABSOLUTE MONOCYTES,1
The pattern of liver test abnormality is hepatocellular. The AST is typically in the,1
level may be normal even in severe cases. The AST level is higher than the ALT level and the ratio is greater than,1
REACTIVE PROTEIN,1
ateletcrit (PCT),1
nn nn nnn ney aa aan,1
Ref. _               Dr.Shree Parth Hospital                                                Reporting Date,1
Salmonella typhi - O                                        -,1
HAEMATOCRIT(PCV),1
Eosinophils             .                   -,1
Monocytes                               -,1
Basophils                                OO,1
Bilirubin (Indirect),1
.Alkaline Phosphatase,1
Alanine Transaminase (ALTSGPT),1
Aspartate Transaminase (ASTSGOT),1
Total Proteins,1
Eosinophil,1
Haematocnt (HCT),1
MUCH,1
PDW,1
REACTION (PH),1
COMPLETE BLOOD PICTURE -(NN,1
r.   (Mean Corpuscular Hb),1
Be HC (Mean Corpuscular Hb Concn.),1
.                    .    .                         .     t,1
ay                          .         ti ry .                                                     A    a,1
uf                                                                Hevntthyceres (us. W,1
vi                                                  C,1
Vory High,1
VLDL Cholostorol,1
rT),1
Lymphocvtes,1
ADLHOL Ratlo,1
holestrol  HDL Ratlo,1
Urea Serum,1
Adult,1
KMC,1
yy NO                                        Aan   No.,1
Bige,1
t  to.                                               rh Collactad At                      m,1
poalthcara Ltd.,1
rossMalleshwaram Bangalore.              Es,1
B. .oglobin (Hb),1
(Mean Corpuscular Volume),1
MPV (Mean Platelet Volume),1
s   ONO ME,1
S_ MANGALOREALAKEDAKSHINA           CENTRE MANGALORE.                 GE,1
Blood Glucose (Random)-Plasma,1
Bill                      Mar,1
Sample Collected  Mar,1
Sample Received  Mar,1
Verified On            Mar,1
Print D  T  MM,1
COOL NAME  ADDRESS  COONG,1
PAVUNT FU,1
SERUM ALBUMIN (BCG),1
PATIENTID - FH.,1
FORTIS  HOSPITAL-NAGARBHAV,1
CULTURE METHOD             OBX.,1
OBX.,1
VITEK,1
Compact .OBX.,1
Order Date - NM,1
Caring Responsibly                                                    No.,1
GURUKRUPA LAYOUT                               iCLIENT PATIENT ID UID,1
BANGALORE,1
IPD-LEVEL-,1
eation Rate (mate),1
CREATININE I GER- EPy-- Kidney disease outcomes quality initiative KDOQI) guidelines state that esumation of GER,1
- Creatinine is mainly derived from the metabclism of creatine in muscle and its gereralion is Proportional to the total muscle mass. As,1
is higher,1
NS                          Mir yroT,1
- CKD FPL (Chronic kidney disease epidemiology collaboration) equation performed better            Cqualion especially when GFR is high(,1
Ghuman JK et al. Impact of Removing Race Variable on CKD Classification Using the Creatinine-Based,1
Harrisons Principle of Internat Medicine,1
CIN                 PLC,1
pe                  MHO,1
ReactionpH (Strio Double Indicator),1
Specific Gravity(TIonic Conceration),1
WBCPus Cells,1
FORTIS HOSP MAL MACARE AT,1
i    yed,1
ABSOL LITE NEUTROP IT). COUNT,1
LYMPHOCY ITS                                       Pas),1
ABSOLUIT LYMPHOCY If  COUNT,1
Pax Ur,1
Se Conxuttane                                                                                                Pe   be,1
a                  a,1
Plazelet Count,1
RDW (CV),1
Neuzrophils,1
WardFloorRoomB  CU,1
TEST                               P           a,1
RE ian Beside Bajaj Electronics Metro Pillar No. A-,1
.                                                                                                                ete  cated ry,1
CODENAME B AODREAS TACO Va                 CSCO SLs rac,1
equatlon normalized tol.,1
P                 MHO,1
Post. HD BUN (UreaseGT.DH),1
Red Blood Cells                             NIL                   (,1
Collection Date Time  NE,1
WBC Count (TC),1
Haeroglopin,1
Haematocrit PCV,1
Collection Date Time  i,1
Blood Jrea Nitrogen (UreaseGLDH),1
SERUM CALCIUM (ARSENAZO IIL),1
eGFR (Calculated),1
eGFR which is primarily basea on Serum Creatinire,1
SEHASTHA Site No,1
oGFR (Calculated),1
ecGFR which is primarily based on Serum CreaLlinine is a derivation of CKD-EPI,1
IG (Immature Granulocytes),1
(Hexokinase)                                                                                           Diabetes mellitus,1
guidelines,1
APrcreatinine - Serum,1
WING        KAMBALA CROSS ROAD.     Sample Collected At,1
S MANGALOREALAKEDAKSHINA           CENTRE MANGALORE.                  BEEN,1
aN                                                                                       BN,1
Blood -ESR,1
A Unit of                                                                                                                                    T,1
COMPLETE URINE EXAMINATION -,1
R.B.C.,1
CASTS                          Nil,1
Collection Date NN,1
Haemoglobin                   EOTA Blood,1
WBC Count,1
Haematocrit(PCv),1
RES COLL DIS MRIBUTION wpm (RDW),1
NEUTROPI ILS                                      S,1
TORTI HOMSOT E a AA MRAHAV,1
GURUKRUPA  LAYOUT                                          SCUURIPARENTID uot guy BIT,1
GID SBt,1
WHITE BI OOD CELL (WBC) COUNT             .,1
NRBC,1
No part of the report can be reproduced without written      MC-,1
a          MCH,1
IPD No,1
MEAN CORPUSCULAR YOU UME (Pcv,1
MEAN CORPUSCULAR NitMOGI OBIN (MOM,1
MEAN CORPUSCULAR HEMOGIGEEIN,1
MENTZER INDEX,1
MPT ea,1
MICAN PLAIEIET VOLUME (MPYS,1
t OSINODPHICS                                            a,1
PUI PLAITIET. Wont) Opus. me,1
CO a me ys    JIS Ee,1
RDW (sheath flow DC,1
-Platelet Count (sheath flow,1
Po i                                              Collection Date,1
Referred By                DR SHASHI VADHAN                                      Reporting Date,1
Plasma GLUCOSE - Random (Hexokinase),1
method)                                                              -,1
Beta HCG (ECLIA ),1
Non pregnant,1
CRP (Immunoturbidimetric,1
Rainbow  aes          PatientName xy.,1
MID. LII,1
TUD-L EV  _ aE NCIS WING.,1
NEUIROPHIL LYMPROCYIL  RATIO (ML),1
Ward,1
Plasma GLUCOSE-Fasting (Hexoki nase)        Tig,1
TOTAT CEOTSSTRROL (CHONPOD),1
Mederate risk,1
wee,1
MPV (sheath flow DC,1
Serum                      Sample Collected at,1
Glucose Random (Hexokinase,1
Adm NE,1
Blood - Platelet count,1
Nucleated RBC,1
RFD B,1
HEMOGLOBIN (HB),1
METHCLY,1
HUMATOCRIT (PCy),1
Reg. No. ADMIT-,1
LDOL- CHOLASTHROL (Rnazymatic)               V,1
Bed No       CASH  DICU,1
SODIUM (Serum),1
POTASSIUM (Serum),1
CHLORIDE (Serum),1
DEPARTMENT OF PATHOLOGY                                s,1
NAME,1
jor,1
Collection Date Time A,1
C-reactive protein (Immuncturbidimetry),1
TRIGLYCERITES (GPOPOD),1
Serderline high,1
High,1
Very high,1
HOL - CHOLESTEROL (Enzymatic),1
VLDL - Cholesterol (Calculated),1
References  Rao..V.Michael snyaer.L. (,1
lith FRditioen. Wolterkiuwer. NaderRifaiAndrea Rita HorvathCarl T.wittwer. (,1
NearAbpove optimal-,1
Borderine High,1
Hidh Risk,1
T.CholEDL.Chel ratio (Calculated),1
LOL.CEOLEDL.CHOL Ratio (Calculated),1
Recommended te do fasting Lipid Profiie after a minimum of,1
SERUM BICARBONATE,1
SERUM URIC ACID (mod.Uricase),1
As per American Diabetes Association(ADA),1
HbAlec (Glycosylated Hemoglonin)        T.,1
Non diapetic adults   .,1
Prediabetes (At Risk ),1
Diabetic Range,1
l. A,1
Grane,1
-       .,1
-                ti,1
Patient ID                          R-,1
Samplef                          EB,1
Result Ready                  RR,1
IP                         hit                Bed                   M-ICU-,1
PLATELETCOUNT  i(éii FO.UUUUUUCU(Ud,1
TOTAL CHOLESTEROL (CHODPOD),1
Moderate risk,1
BILIRUBIN-TOTAL(mod.J Groff),1
BILIRUBIN-DIRECT(mod.J Groff),1
TOTAL PROTEIN (mod.Biuret),1
SERUM ALBUMIN (BCG-dye),1
PRINTED TIME  I,1
Grant,1
SGOT AST (P,1
ALP (p-NPPkinetic),1
LDH (UV kinetic),1
CKD-EPI,1
below,1
collected at the laboratory Manipal Hospitals Old Airport Road Bengaluru,1
SERUM CALCIUM (NM-BAPTA),1
SERUM PHOSPHORUS (Molybdate UV),1
HEART  SUPER SPECIALITY HOSPITAL,1
Lab No.                                       MRN,1
Or. PRAVEEN REDDY M.B.,1
To-free Number,1
D  Y  PAT l L                              Plot No.,1
HOSPITAL                                         Navi Mumbai -,1
ALBGLOB (AG) Ratio,1
SGPT ALT (P,1
S.Creatinine               -,1
S.Protien T                  -,1
Albumin                -,1
Globulin                -,1
S.Bilurubin(T)              -,1
S.Bilurubin(D)             -,1
SGOT                     -,1
SGPT                      -,1
Alk phosphatase         -,1
Patient i      _,1
Admn No                                           Date,1
a                SGRD-,1
Bill No              SE,1
Attendant            ANOOP iia                   WardRoom       s ICU MEDICINEMICUMICU-,1
ISHITA    SSHOOR,1
Corte Me,1
D  Y  PAT I L                                 Plot No.,1
HOSPITAL                                              Navi Mumbai -,1
Name                 Mr. OMPRAKASH HAWALE                     Sample Date,1
Age  Gender,1
Type  Bed No      CASH  DICU,1
Absolute Neutrophils,1
Absolute Lymphocytes,1
Absolute Eosinophils,1
Absolute Monocytes,1
Absolute Basophils,1
GENERAL                                                                   Page,1
RS     -. ( AUnit of THE CHILDS TRUST ),1
on                                 ReceivedOn . RRM,1
Location     GW-,1
i          CO   .      Reported On -,1
Lab DivisionNo.,1
test result of,1
A conto (Normal pooled Plasma),1
WC Gea                                                                                                                           Hospital,1
PT Test,1
PTI Control,1
se                       L,1
RDW-CV                         H,1
PLT                       L,1
MCHC i Corpuscular Hb Concn.),1
Blood - Total Count (TC),1
Aravsotute Lymphocyte Count,1
WING,1
MANGALORE ALAKE DAKSHINA           CENTRE MANGALORE.                  OU,1
_      KANNADA,1
Tel No                                                     I,1
aPTT- (Test),1
MCH                      L,1
Monocytes                                Light Scattering,1
Basophils                                 Light Scattering,1
Absolute Neutrophils                   Calculated,1
Absolute Lymphocytes                 Calculated,1
WING        KAMBALA CROSS ROAD.      Sample Collected At                         s,1
ALAKE .DAKSHINA           CENTRE MANGALORE.                 HE,1
Tel No a                                       BEI,1
PDw,1
ee                      as,1
Glucose(R)                    -,1
HIV (,1
v    Coe er ayes,1
Ph it,1
Blood Urea                -,1
MCV                   L,1
SERUM SODIUM                        i,1
Tere TOOLS SUdEC,1
on Ho JAIN is SR,1
OOM NO,1
HANE -,1
INVESTIGATION                             a          a                             a,1
AUSTRALIAN  Non             Creatnine                         (,1
COMPLETE BLOOD,1
Arierial Ony gen Sausation - fe                       Pd,1
ure          s),1
Ret Ooceue  D on PS Uret  Dr Bytane Maren Dr Arte,1
y                            Arterial Gioed Bit - ptt,1
ARTERIAL PO (pO,1
GLOBULIN                              ot           vied,1
ALKALINE P,1
BI IRUBIN TTL                      i,1
oo             No.,1
BLEC,1
BODIUM jcWas)                                 at,1
POTAESIUD (GK),1
Cut Ome ice,1
tONITEO CALCIUM (cCate),1
LACTATE (clon                                 q,1
Total nemagtoben (cia)                     o.,1
iad,1
ASE TACESS (Bese(B jo)                            we,1
cBace Eufic                                     C,1
BICARBONATE (e,1
Cope tal,1
.                        LabCRV                      aL RN,1
hutps  his-omkar.apollohospitals.com LabLabCR V Report.aspx -,1
eo       LET MA            re  eS,1
e-npr-,1
SUES hg                                            S,1
STONY LES a                                                     OS                              A,1
Fesimophils o,1
Tt Phatelot volume cMIPV),1
Phat let Distburnon WedtheP how,1
Printed By  Ms. NAMRATA ASHOK KAMBLE,1
ICICI Bank MIDC Dombivii (E) -,1
by      Lon           K MBBS  DRCOG(London)  MRCOG      Report Date,1
_                              Ph,1
Vor Appointments Toll Free No.,1
CONSULTANT       Dr. ULHAS M PANDURANGI                     SAMPLE RECEIVED DT.,1
WARDROOM        Floor - AIGU,1
Method  SLS HAEMOGLOBIN DETECTION                                                                                                         Female,1
--END OF REPORT--                 Reported Date  I,1
UHID AHJN.,1
Or RVS BHALLA                                            Report Date,1
o-Apr,1
Patent ID              po                                                                            Sample No,1
a          Dr.S.Rajasekaran. M.S DNB F.R.C.S.(ED) M.CH(LIV) F.A.C.S           Reviewed On,1
F.R.C.S.(ENG) PH.D.                                                             Locaton,1
HAEMATOCRIT (PCV),1
UHID  IP          P,1
ae                                                                                   EO atc -,1
COUNT (CBC),1
Red Cell Count,1
Ee TT                                  OrderNo _,1
Validated By                                                Reg NoKMC,1
(ge          Sri Kauvery Medical Care (India) Limited,1
ae            T,1
HEALTHCARE                                     SECTOR-,1
MMM TANUJ JAIN  SR,1
EXAMINATION,1
UHID                 MMHIP,1
SIN  LRN    .,1
Ref Doctor        Dr.RAJESH PRABHU P                                                                                     x,1
Coflectedon .,1
LIPASE - SERUM,1
First Report Printed On.,1
Printed On .,1
Req by Dr LIWAL RAM VEKE                                 Biasreas   Report Date,1
SODIUM SERUM,1
HIV -,1
RDW(SD),1
cellsul                                            HIV-,1
RDW(CV),1
Mean Platelet,1
volume(MPV)                                                                    URINE ROUTINE,1
RDA CON,1
Platelet Distribution,1
Plateletocrit (PCT),1
RBC Morphology            Normocyti                                        pH(Reaction),1
R. NIKHIL MAKARAND VAIDYA  SRVD-,1
Me NIKHIL MAKARAND VAIDYA  SRVD-,1
Nee       ST Yr) Male                                     hee  Collection on,1
Reo ID     D-RIRS-,1
ME NIKHIL MAKARAND VAIDYA  SRVD-,1
Hacmousabin,1
core  ol Count,1
Ee rbtioere nt,1
VICYV                                                N,1
NICHI,1
MCHC                                                      AB Y,1
RUWISD),1
Oe tris ed,1
URINE ANALYSIS                  O,1
MCH(Catculated),1
MCHC(Catculated),1
Noutroptuls,1
Pri                   APR-,1
nied On,1
Pago,1
Vue,1
Reg HD  D-RI,1
Req by,1
HIN,1
Netest,1
ICICI Bank MIDC Dombivli (E) -,1
f oxy,1
or sme                                                                                                                                                                    ASHM-QF-LS(BC)-,1
Name              Mrs. KALIAMMAL M                                                   Age,1
Name            Mrs. KALIAMMAL M                                            io,1
UHID ht               MMHIP,1
() a,1
a - Pasa,1
Printed On,1
oe                                                                                            ASHM-QF-LS(BC)-,1
UHIO          PO           MMHIP,1
we a,1
ef Doctor,1
Collected on       AP,1
